Título,Rating,Sinopse,Link
Drácula: Uma História de Amor Eterno,"6,2","Após a morte de sua esposa, um príncipe do século XV renuncia a Deus e se torna um vampiro. Séculos depois, na Londres do século XIX, ele vê uma mulher parecida com sua falecida esposa e a persegue, selando seu próprio destino.",https://imdb.com/pt/title/tt31434030/
Fackham Hall,"6,4",Um novo jardineiro faz amizade com a filha mais nova de uma rica família britânica enquanto os Davenports lidam com as consequências desastrosas do casamento de sua filha mais velha com seu primo rebelde.,https://imdb.com/pt/title/tt29008225/
F1: O Filme,"7,6",Um piloto de Fórmula 1 sai da aposentadoria para orientar e formar equipe com um piloto mais jovem.,https://imdb.com/pt/title/tt16311594/
Predador: Terras Selvagens,"7,2",Um jovem predador marginalizado de seu clã encontra um aliado improvável em sua jornada em busca do melhor adversário.,https://imdb.com/pt/title/tt31227572/
Heel,"6,8","Um criminoso de 19 anos, Tommy, é sequestrado e forçado a se reabilitar por um casal disfuncional, Chris e Kathryn, que tentam transformá-lo em um ""bom garoto"". Tommy deve encontrar uma maneira de escapar.",https://imdb.com/pt/title/tt34381258/
A Hora do Mal,"7,4",Um épico de terror de várias histórias interrelacionadas sobre o desaparecimento de estudantes do ensino médio em uma pequena cidade.,https://imdb.com/pt/title/tt26581740/
Dinheiro Suspeito,"6,8","Um grupo de policiais de Miami descobre um esconderijo de milhões em dinheiro, o que causa desconfiança ao saber da enorme apreensão, fazendo-os questionar em quem confiar.",https://imdb.com/pt/title/tt32642706/
Justiça Artificial,"6,1","Depois de ser acusado de um crime violento, um detetive é forçado a provar sua inocência.",https://imdb.com/pt/title/tt31050594/
Zootopia 2,"7,4","A corajosa coelha policial Judy Hopps e seu amigo, a raposa Nick Wilde, unem-se novamente para solucionar um novo caso, o mais perigoso e intrincado de suas carreiras.",https://imdb.com/pt/title/tt26443597/
Mike & Nick & Nick & Alice,N/A,"Dois amigos inseparáveis se envolvem em perigosas aventuras no submundo do crime, enfrentando situações arriscadas e testando sua lealdade.",https://imdb.com/pt/title/tt27552099/
"Boa Sorte, Divirta-se, Não Morra","7,4","Um homem do futuro chega a uma cafeteria de Los Angeles, onde recruta a combinação exata de clientes insatisfeitos para se juntar a ele em uma missão para salvar o mundo da ameaça da inteligência artificial maligna.",https://imdb.com/pt/title/tt1341338/
I Swear,"8,4","John Davidson: diagnosticado com Tourette aos 15 anos, descrito como insano por seus colegas, ele lutou contra uma condição que poucos haviam testemunhado. Quando adulto, ele fez campanha pela síndrome de Tourette.",https://imdb.com/pt/title/tt31514146/
Song Sung Blue: Um Sonho a Dois,"7,3","Lightning and Thunder, um casal de Milwaukee que presta homenagem a Neil Diamond, experimentam um sucesso avassalador e uma decepção devastadora em sua jornada musical juntos.",https://imdb.com/pt/title/tt30343021/
Todo Mundo em Pânico,"6,3","Um ano depois de se livrarem do corpo de um homem que mataram acidentalmente, um grupo de adolescentes idiotas é perseguido por um trapalhão assassino em série.",https://imdb.com/pt/title/tt0175142/
Sirât,"7,0",Um homem e seu filho chegam a uma rave perdidos no meio do que é descrito como as montanhas áridas e fantasmagóricas do sul de Marrocos.,https://imdb.com/pt/title/tt32298285/
A ACUSADA,"4,5","Quando uma célebre médica homossexual em Londres é acusada de má conduta sexual, sua vida se desfaz.",https://imdb.com/pt/title/tt39631179/
Casamento Sangrento: A Viúva,N/A,"A noiva retorna em uma nova e sinistra rodada do tradicional jogo de esconde-esconde, agora com elementos sobrenaturais e demoníacos.",https://imdb.com/pt/title/tt33978029/
Manual Prático da Vingança Lucrativa,"6,7",Um jovem arquiteta um plano de assassinato para herdar a riqueza de sua família.,https://imdb.com/pt/title/tt4357198/
Um Sonho de Liberdade,"9,3","Dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum.",https://imdb.com/pt/title/tt0111161/
